"","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"104","A0A0C4DH35","HV335_HUMAN","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35",1,608189,NA,NA,FALSE,FALSE,"HPA"
"105","Q9Y2D5","AKAP2_HUMAN","AKAP2","A-kinase anchor protein 2",8,580036,NA,NA,FALSE,FALSE,"HPA"
"106","O60938","KERA_HUMAN","KERA","Keratocan",6,579424,NA,NA,FALSE,FALSE,"HPA"
"107","Q7Z794","K2C1B_HUMAN","KRT77","Keratin, type II cytoskeletal 1b",1,550104,NA,NA,FALSE,FALSE,"HPA"
"108","Q9P121","NTRI_HUMAN","NTM","Neurotrimin",2,537662,NA,NA,FALSE,FALSE,"HPA"
"109","Q15306","IRF4_HUMAN","IRF4","Interferon regulatory factor 4",1,527857,NA,NA,FALSE,FALSE,"HPA"
"110","A0A0C4DH34","HV428_HUMAN","IGHV4-28","Immunoglobulin heavy variable 4-28",2,522774,NA,NA,FALSE,FALSE,"HPA"
"111","P00736","C1R_HUMAN","C1R","Complement C1r subcomponent",14,486770,NA,NA,FALSE,FALSE,"HPA"
"112","P08519","APOA_HUMAN","LPA","Apolipoprotein(a)",12,484015,NA,NA,FALSE,FALSE,"HPA"
"113","Q9UGM5","FETUB_HUMAN","FETUB","Fetuin-B",3,480644,NA,NA,FALSE,FALSE,"HPA"
"114","P35612","ADDB_HUMAN","ADD2","Beta-adducin",14,479857,NA,NA,FALSE,FALSE,"HPA"
"115","Q6NUJ1","SAPL1_HUMAN","PSAPL1","Proactivator polypeptide-like 1",1,444426,NA,NA,FALSE,FALSE,"HPA"
"116","P15814","IGLL1_HUMAN","IGLL1","Immunoglobulin lambda-like polypeptide 1",3,441359,NA,NA,FALSE,FALSE,"HPA"
"117","Q16799","RTN1_HUMAN","RTN1","Reticulon-1",3,438979,NA,NA,FALSE,FALSE,"HPA"
"118","P23946","CMA1_HUMAN","CMA1","Chymase",8,432203,NA,NA,FALSE,FALSE,"HPA"
"119","A0A0C4DH67","KV108_HUMAN","IGKV1-8","Immunoglobulin kappa variable 1-8",1,428479,NA,NA,FALSE,FALSE,"HPA"
"120","P01593","KVD33_HUMAN","IGKV1D-33","Immunoglobulin kappa variable 1D-33",1,389964,NA,NA,FALSE,FALSE,"HPA"
"121","P0CG29","GST2_HUMAN","GSTT2","Glutathione S-transferase theta-2",7,381288,NA,NA,FALSE,FALSE,"HPA"
"122","Q6IB77","GLYAT_HUMAN","GLYAT","Glycine N-acyltransferase",3,372531,NA,NA,FALSE,FALSE,"HPA"
"123","P09105","HBAT_HUMAN","HBQ1","Hemoglobin subunit theta-1",7,367410,NA,NA,FALSE,FALSE,"HPA"
"124","P22792","CPN2_HUMAN","CPN2","Carboxypeptidase N subunit 2",7,354154,NA,NA,FALSE,FALSE,"HPA"
"125","P02008","HBAZ_HUMAN","HBZ","Hemoglobin subunit zeta",4,347705,NA,NA,FALSE,FALSE,"HPA"
"126","P20742","PZP_HUMAN","PZP","Pregnancy zone protein",13,346617,NA,NA,FALSE,FALSE,"HPA"
"127","Q96IY4","CBPB2_HUMAN","CPB2","Carboxypeptidase B2",6,344972,NA,NA,FALSE,FALSE,"HPA"
"128","Q9H1E1","RNAS7_HUMAN","RNASE7","Ribonuclease 7",1,343906,NA,NA,FALSE,FALSE,"HPA"
"129","Q9H4B7","TBB1_HUMAN","TUBB1","Tubulin beta-1 chain",3,310547,NA,NA,FALSE,FALSE,"HPA"
"130","P01717","LV325_HUMAN","IGLV3-25","Immunoglobulin lambda variable 3-25",1,309145,NA,NA,FALSE,FALSE,"HPA"
"131","Q6IQ22","RAB12_HUMAN","RAB12","Ras-related protein Rab-12",8,302064,NA,NA,FALSE,FALSE,"HPA"
"132","Q14982","OPCM_HUMAN","OPCML","Opioid-binding protein/cell adhesion molecule",1,297776,NA,NA,FALSE,FALSE,"HPA"
"133","P07358","CO8B_HUMAN","C8B","Complement component C8 beta chain",15,291860,NA,NA,FALSE,TRUE,"HPA"
"134","P01714","LV319_HUMAN","IGLV3-19","Immunoglobulin lambda variable 3-19",1,286886,NA,NA,FALSE,FALSE,"HPA"
"135","Q86V81","THOC4_HUMAN","ALYREF","THO complex subunit 4",1,270235,NA,NA,FALSE,FALSE,"HPA"
"136","P05543","THBG_HUMAN","SERPINA7","Thyroxine-binding globulin",11,263737,NA,NA,FALSE,FALSE,"HPA"
"137","Q14520","HABP2_HUMAN","HABP2","Hyaluronan-binding protein 2",5,255467,NA,NA,FALSE,FALSE,"HPA"
"138","Q969L2","MAL2_HUMAN","MAL2","Protein MAL2",1,250543,NA,NA,FALSE,FALSE,"HPA"
"139","P07196","NFL_HUMAN","NEFL","Neurofilament light polypeptide",2,241312,NA,NA,FALSE,FALSE,"HPA"
"140","P16112","PGCA_HUMAN","ACAN","Aggrecan core protein",2,231630,NA,NA,FALSE,FALSE,"HPA"
"141","P0DN76","U2AF5_HUMAN","U2AF1L5","Splicing factor U2AF 35 kDa subunit-like protein",1,226583,NA,NA,FALSE,FALSE,"HPA"
"142","Q8IXS6","PALM2_HUMAN","PALM2","Paralemmin-2",3,223936,NA,NA,FALSE,FALSE,"HPA"
"143","P16401","H15_HUMAN","H1-5","Histone H1.5",2,217265,NA,NA,FALSE,FALSE,"HPA"
"144","P05160","F13B_HUMAN","F13B","Coagulation factor XIII B chain",8,215994,NA,NA,FALSE,TRUE,"HPA"
"145","A0A0C4DH29","HV103_HUMAN","IGHV1-3","Immunoglobulin heavy variable 1-3",1,212040,NA,NA,FALSE,FALSE,"HPA"
"146","P15169","CBPN_HUMAN","CPN1","Carboxypeptidase N catalytic chain",5,198296,NA,NA,FALSE,FALSE,"HPA"
"147","Q9UDX3","S14L4_HUMAN","SEC14L4","SEC14-like protein 4",3,194455,NA,NA,FALSE,FALSE,"HPA"
"148","P00748","FA12_HUMAN","F12","Coagulation factor XII",9,186702,NA,NA,FALSE,FALSE,"HPA"
"149","P24158","PRTN3_HUMAN","PRTN3","Myeloblastin",2,185611,NA,NA,FALSE,FALSE,"HPA"
"150","P14780","MMP9_HUMAN","MMP9","Matrix metalloproteinase-9",1,179349,NA,NA,FALSE,FALSE,"HPA"
"151","P01880","IGHD_HUMAN","IGHD","Immunoglobulin heavy constant delta",7,174876,NA,NA,FALSE,FALSE,"HPA"
"152","P79483","DRB3_HUMAN","HLA-DRB3","HLA class II histocompatibility antigen, DR beta 3 chain",1,166947,NA,NA,FALSE,FALSE,"HPA"
"153","P35858","ALS_HUMAN","IGFALS","Insulin-like growth factor-binding protein complex acid labile subunit",8,164849,NA,NA,FALSE,FALSE,"HPA"
"154","Q86UX2","ITIH5_HUMAN","ITIH5","Inter-alpha-trypsin inhibitor heavy chain H5",1,155069,NA,NA,FALSE,FALSE,"HPA"
"155","A0A0A0MS15","HV349_HUMAN","IGHV3-49","Immunoglobulin heavy variable 3-49",3,150675,NA,NA,FALSE,FALSE,"HPA"
"156","P13637","AT1A3_HUMAN","ATP1A3","Sodium/potassium-transporting ATPase subunit alpha-3",2,149906,NA,NA,FALSE,FALSE,"HPA"
"157","Q16777","H2A2C_HUMAN","HIST2H2AC","Histone H2A type 2-C",1,146990,NA,NA,FALSE,FALSE,"HPA"
"158","A0A075B6J9","LV218_HUMAN","IGLV2-18","Immunoglobulin lambda variable 2-18",2,145697,NA,NA,FALSE,FALSE,"HPA"
"159","Q06033","ITIH3_HUMAN","ITIH3","Inter-alpha-trypsin inhibitor heavy chain H3",7,138354,NA,NA,FALSE,TRUE,"HPA"
"160","Q03591","FHR1_HUMAN","CFHR1","Complement factor H-related protein 1",5,127544,NA,NA,FALSE,FALSE,"HPA"
"161","A0A0B4J1V0","HV315_HUMAN","IGHV3-15","Immunoglobulin heavy variable 3-15",2,119963,NA,NA,FALSE,FALSE,"HPA"
"162","Q9Y617","SERC_HUMAN","PSAT1","Phosphoserine aminotransferase",3,116192,NA,NA,FALSE,FALSE,"HPA"
"163","Q13936","CAC1C_HUMAN","CACNA1C","Voltage-dependent L-type calcium channel subunit alpha-1C",1,114834,NA,NA,FALSE,FALSE,"HPA"
"164","P20851","C4BPB_HUMAN","C4BPB","C4b-binding protein beta chain",5,112148,NA,NA,FALSE,TRUE,"HPA"
"165","Q3ZCM7","TBB8_HUMAN","TUBB8","Tubulin beta-8 chain",1,100476,NA,NA,FALSE,FALSE,"HPA"
"166","Q9BRJ2","RM45_HUMAN","MRPL45","39S ribosomal protein L45, mitochondrial",2,1e+05,NA,NA,FALSE,FALSE,"HPA"
"167","P35556","FBN2_HUMAN","FBN2","Fibrillin-2",2,97136,NA,NA,FALSE,FALSE,"HPA"
"168","P02724","GLPA_HUMAN","GYPA","Glycophorin-A",1,96126,NA,NA,FALSE,FALSE,"HPA"
"169","O43826","G6PT1_HUMAN","SLC37A4","Glucose-6-phosphate exchanger SLC37A4",4,89800,NA,NA,FALSE,FALSE,"HPA"
"170","Q6B0K9","HBM_HUMAN","HBM","Hemoglobin subunit mu",2,89136,NA,NA,FALSE,FALSE,"HPA"
"171","P00740","FA9_HUMAN","F9","Coagulation factor IX",4,88026,NA,NA,FALSE,FALSE,"HPA"
"172","P35558","PCKGC_HUMAN","PCK1","Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",6,87428,NA,NA,FALSE,FALSE,"HPA"
"173","A0A0B4J1X8","HV343_HUMAN","IGHV3-43","Immunoglobulin heavy variable 3-43",1,78466,NA,NA,FALSE,FALSE,"HPA"
"174","P17213","BPI_HUMAN","BPI","Bactericidal permeability-increasing protein",1,76635,NA,NA,FALSE,FALSE,"HPA"
"175","Q9BRK5","CAB45_HUMAN","SDF4","45 kDa calcium-binding protein",1,76500,NA,NA,FALSE,FALSE,"HPA"
"176","Q13790","APOF_HUMAN","APOF","Apolipoprotein F",2,75575,NA,NA,FALSE,FALSE,"HPA"
"177","A0A0B4J1V2","HV226_HUMAN","IGHV2-26","Immunoglobulin heavy variable 2-26",2,72816,NA,NA,FALSE,FALSE,"HPA"
"178","A0A0B4J1U3","LV136_HUMAN","IGLV1-36","Immunoglobulin lambda variable 1-36",1,68431,NA,NA,FALSE,FALSE,"HPA"
"179","P05089","ARGI1_HUMAN","ARG1","Arginase-1",6,61677,NA,NA,FALSE,FALSE,"HPA"
"180","L0R6Q1","S35U4_HUMAN","SLC35A4","SLC35A4 upstream open reading frame protein",3,57153,NA,NA,FALSE,FALSE,"HPA"
"181","O96007","MOC2B_HUMAN","MOCS2","Molybdopterin synthase catalytic subunit",3,56733,NA,NA,FALSE,FALSE,"HPA"
"182","A0A0A0MT36","KVD21_HUMAN","IGKV6D-21","Immunoglobulin kappa variable 6D-21",1,55424,NA,NA,FALSE,FALSE,"HPA"
"183","P01718","LV327_HUMAN","IGLV3-27","Immunoglobulin lambda variable 3-27",1,54397,NA,NA,FALSE,FALSE,"HPA"
"184","P08779","K1C16_HUMAN","KRT16","Keratin, type I cytoskeletal 16",4,53117,NA,NA,FALSE,FALSE,"HPA"
"185","O75363","BCAS1_HUMAN","BCAS1","Breast carcinoma-amplified sequence 1",2,49282,NA,NA,FALSE,FALSE,"HPA"
"186","P01766","HV313_HUMAN","IGHV3-13","Immunoglobulin heavy variable 3-13",1,49136,NA,NA,FALSE,FALSE,"HPA"
"187","P05771","KPCB_HUMAN","PRKCB","Protein kinase C beta type",1,46502,NA,NA,FALSE,FALSE,"HPA"
"188","P42167","LAP2B_HUMAN","TMPO","Lamina-associated polypeptide 2, isoforms beta/gamma",5,46099,NA,NA,FALSE,FALSE,"HPA"
"189","P04430","KV116_HUMAN","IGKV1-16","Immunoglobulin kappa variable 1-16",1,45280,NA,NA,FALSE,FALSE,"HPA"
"190","P23276","KELL_HUMAN","KEL","Kell blood group glycoprotein",1,38793,NA,NA,FALSE,FALSE,"HPA"
"191","A0A0C4DH24","KV621_HUMAN","IGKV6-21","Immunoglobulin kappa variable 6-21",1,35875,NA,NA,FALSE,FALSE,"HPA"
"192","Q9BZV2","S19A3_HUMAN","SLC19A3","Thiamine transporter 2",1,34102,NA,NA,FALSE,FALSE,"HPA"
"193","P36980","FHR2_HUMAN","CFHR2","Complement factor H-related protein 2",2,33666,NA,NA,FALSE,FALSE,"HPA"
"194","Q9HCB6","SPON1_HUMAN","SPON1","Spondin-1",1,33584,NA,NA,FALSE,FALSE,"HPA"
"195","P01721","LV657_HUMAN","IGLV6-57","Immunoglobulin lambda variable 6-57",1,32367,NA,NA,FALSE,FALSE,"HPA"
"196","P01601","KVD16_HUMAN","IGKV1D-16","Immunoglobulin kappa variable 1D-16",1,28854,NA,NA,FALSE,FALSE,"HPA"
"197","O96033","MOC2A_HUMAN","MOCS2","Molybdopterin synthase sulfur carrier subunit",2,28339,NA,NA,FALSE,FALSE,"HPA"
"198","Q04756","HGFA_HUMAN","HGFAC","Hepatocyte growth factor activator",2,22533,NA,NA,FALSE,FALSE,"HPA"
"199","P04278","SHBG_HUMAN","SHBG","Sex hormone-binding globulin",2,22244,NA,NA,FALSE,FALSE,"HPA"
"200","A0A0A0MS14","HV145_HUMAN","IGHV1-45","Immunoglobulin heavy variable 1-45",1,21738,NA,NA,FALSE,FALSE,"HPA"
"201","A0A075B6S6","KVD30_HUMAN","IGKV2D-30","Immunoglobulin kappa variable 2D-30",1,20742,NA,NA,FALSE,FALSE,"HPA"
"202","Q04695","K1C17_HUMAN","KRT17","Keratin, type I cytoskeletal 17",2,17110,NA,NA,FALSE,FALSE,"HPA"
"203","Q13370","PDE3B_HUMAN","PDE3B","cGMP-inhibited 3',5'-cyclic phosphodiesterase B",1,16236,NA,NA,FALSE,FALSE,"HPA"
"204","P54108","CRIS3_HUMAN","CRISP3","Cysteine-rich secretory protein 3",1,11579,NA,NA,FALSE,FALSE,"HPA"
"205","P29762","RABP1_HUMAN","CRABP1","Cellular retinoic acid-binding protein 1",1,9995,NA,NA,FALSE,FALSE,"HPA"
"206","Q7Z3Z0","K1C25_HUMAN","KRT25","Keratin, type I cytoskeletal 25",2,9061,NA,NA,FALSE,FALSE,"HPA"
"207","P41219","PERI_HUMAN","PRPH","Peripherin",2,7941,NA,NA,FALSE,FALSE,"HPA"
"208","Q5EBM0","CMPK2_HUMAN","CMPK2","UMP-CMP kinase 2, mitochondrial",1,6312,NA,NA,FALSE,FALSE,"HPA"
